Ticker,Current Ratio,Current ROA (TTM),Current ROI (TTM),Current ROE (TTM),Price/Cash Flow,PEG Ratio,P/E (Trailing 12 Months),5 Yr Historical Sales Growth,Annual Sales,Long Term Debt ,Book Value,Net Margin,5 Yr Hist. Div. Growth %,Dividend ,Cash Flow ,Net Income ,EBITDA ,5 Yr. Hist. EPS Growth,Beta,52 Week High,Last Close,Shares Outstanding ,12 Mo Trailing EPS,% Rating Hold,% Rating Strong Sell or Sell,% Rating Strong Buy or Buy,Market Cap 
GEF,1.62,5.04,7.49,14.18,6.93,1.39,15.64,4.37,4248,1345.13,29.55,0.04,12.92099,1.67999,362.39001,176.03999,467.14999,1.55,1.27,67.04,53.34,47.24,3.41,57.14,0,42.86,2520
GEF.B,1.62,5.04,7.49,14.18,3.35,,11.07,4.37,4248,1345.13,62.92,0.04,12.87699,2.50999,362.39001,176.03999,467.14999,,1.25,62.45,54.25,22.12,4.9,,,,1200.06
GEL,1.51,3.98,4.77,9,19.24,6.46,31.45,23.57,3089.67,659.29998,11.02,0.02,13.342,1.64999,112.88899,51.24,133.41,14.86,0.93,33.48,30.19,78.66,0.96,28.57,0,71.43,2374.81
GELYY,,,,,12.41,,,,2974.7,450.70001,,,,0.0568,226.83999,229.35,280.73999,,0.45,9,7.85,373.04,,0,0,100,2928.35
GEN,2.15,1.36,1.81,3.19,2.85,,8.82,-36.88,3614,4122,6.63,-0.05,,0,526,-189,548,,1.63,4.13,1.94,771.69,0.22,40,30,30,1497.08
GENC,12.71,0.08,0.09,0.09,50.48,,,-9.82,59.7,0,12.45,0,,0,1.09,0.21999,-1.64,-45.5,0.65,7.96,6.87,8.01,0,,,,55.02
GENE,9.22,,,,24.69,,,,4.55,0,0.95,0.2,,0,1.50199,0.89999,1.50999,,1.68,10.3,2.75,15.49,,0,0,100,42.6
GENT,2.32,10.75,16.03,17.64,25.23,,35.19,42.99,31.71,2.15,1.62,0.12,,0,5.42799,3.76999,6.73,,2.91,10.38,9.15,14.97,0.26,0,0,100,136.97
GEO,1.59,3.3,4.21,9.36,6.67,0.87,12.76,10.49,1612.9,1332.14001,16.59,0.05,,0,185.61099,78.62,286.27999,11.76,0.83,26.68,19.77,61.44,1.55,14.29,0,85.71,1214.63
GEOI,1.54,7.62,9.8,9.84,12.54,0.57,22.38,52.15,137.75,0,14.4,0.23,,0,62.546,31.32999,80.79,15.27,1.39,35.55,30.66,25.63,1.37,23.08,0,76.92,785.69
GEOY,2.49,4.19,5.53,11.38,4.03,1.31,10.39,22.69,356.41,511.01,22.86,0.16,,0,125.68499,56.61,173.83999,56.23,0.52,41.65,22.85,22.24,2.2,40,0,60,508.27
GEPT,,,,,,,,,,,,,,0,,,,,1.57,0.04,0.0105,19.51,,,,,0.2
GERN,9.35,-48.18,-50.98,-51.2,,,,-12.34,2.44,0,1.12,-39.73,,0,-85.47001,-96.85,-89.86001,,0.99,5.04,1.53,132.26,-0.75,66.67,0,33.33,202.36
GES,3,16,24.01,24.54,7.38,0.71,9.36,13.38,2688.05,10.19999,12.87,0.1,31.81599,0.8,370.64001,265.5,480.61999,14.73,1.66,45.72,29.48,89.71,3.15,50,10,40,2644.56
GET,0.85,0.6,0.72,1.47,9.05,2.2,99.83,-0.44,952.14,1073.06994,21.6,0.01,,0,160.17799,10.17,236.92999,,2.69,36.33,29.95,48.55,0.3,50,0,50,1454.19
GEVA,7.84,-10.63,-11.24,-11.24,,,,-24.05,2.1,0,4.23,-12.05,,0,-24.276,-25.3,-24.24,-48.72,0.83,38.97,34.01,21.17,-0.49,0,0,100,719.89
GEVI,,,,,,,,,0.88,11.14999,,,,0,-4.51001,-14.95,0.8,,-5.77,0.01,0.0023,22,,,,,0.05
GEVO,6.38,-35.3,-38.51,-45.48,,,,,64.55,24.75,3.53,-0.75,,0,-43.614,-48.21,-40.04001,,0.66,23.35,9.75,26.5,-2.26,11.11,0,88.89,258.4
GFA,3.35,2.24,3.48,5.83,3.46,,,,1613.85,1407.40002,11.16,,24.996,0.22822,269.625,237.47999,292.64001,,2.49,13.33,4.32,216.35,-2.4,33.33,0,66.67,934.63
GFED,1.01,0.57,2.56,10.27,4.73,,8.86,-4.37,34.86,83.51,14.09,0.11,,0,5.076,3.82999,9.6,-32.67,1.03,9.2,8.95,2.68,1.01,,,,24.01
GFF,2.89,0.93,1.27,2.53,7.1,,33.76,0.59,1830.8,688.23999,10.52,0,,0,87.29399,-7.43,100.94,-4.76,1.38,12.91,9.79,61.72,0.29,0,0,100,604.26
GFI,1.17,9.73,13.42,16.65,5.14,,9.2,18.26,5800.1,1360.69995,8.16,0.19,0.18671,0.23814,1800.80004,1081.19995,404.6,6.82,0.61,18.3,12.79,724.55,1.39,100,0,0,9267.03
GFIG,1.54,1.66,4.19,5.54,4.07,2.03,16.24,-0.29,1015.47,250,3.76,0,4.6104,0.2,99.912,-3.18001,100.12999,-27.14,1.76,5.11,3.41,118.18,0.21,28.57,14.29,57.14,403
GFLB,,,,,,,,,,,,,,0,,,,,1.85,0.75,0.6,10.45,,,,,6.27
GFME,0.07,-35.37,,,19.93,,,,0.51,0,-0.42,,,0,0.06599,0.006,0.206,,2.09,1.45,0.4,5.09,,,,,2.04
GFN,1.71,5.38,6.34,12.11,1.26,,3.23,22.5,182.26,136.58,8.6,-0.09,,0,48.513,-15.71001,41.33,,1.35,3.48,2.78,22.01,0.86,,,,61.2
GG,3.83,6.23,8.38,8.67,12.61,0.93,18.62,21.99,5362,737,26.53,0.35,26.239,0.4553,2607.15405,1881,3261,25.65,0.52,55.84,40.6,809.99,2.18,17.65,0,82.35,32885.63
GGAL,1.23,2.44,31.24,35.96,2.59,0.07,2.84,25.68,1781.42,0,6.2,0.15,,0.02074,284.27099,268.76,210.92999,,1.31,14.67,5.94,124.14,2.09,60,20,20,737.4
GGB,2.56,4.46,5.76,8.52,4.73,,12.25,5.77,20381.88,7164.25976,13.9,0.06,-14.19901,0.13863,2256.62402,1260.01,2476.3999,,1.95,12.36,9.31,1146.03,0.76,60,20,20,10669.55
GGBMQ,,,,,,,,,,,,,,0,,,,,2.67,0.02,0.001,7.96,,,,,0.01
GGC,2.38,2.92,4.56,10.89,4.65,,21.2,-0.35,3222.88,607.34997,14.27,0.02,,0,235.49699,57.75,229.02,,2.35,40.09,32.01,34.24,1.51,40,0,60,1096.02
GGG,4.44,18.59,25.82,43.62,17.81,0.98,22.48,-1.75,895.28,300,5.41,0.16,5.6612,0.83999,174.80799,142.32,251.33,-5.45,1.61,54.17,52.16,60,2.32,75,0,25,3129.81
GGLT,,,,,,,,,,,,,,0,,,,,-0.44,202,201,0.01,,,,,2.01
GGOX,2.11,-12.84,-18.79,-18.79,,,,81.06,32.27,0,1.6,-0.44,,0,-5.279,-14.14001,14.81999,,2.21,2.85,2.67,21.55,-0.33,,,,57.53
GGP,1.19,-0.74,-0.83,-2.36,23.45,3.45,17.56,-3.36,2742.94,17129.5,9.28,-0.11,-34.132,0.4,658.49401,-306.88001,606.02001,-21.97,3.55,17.38,16.51,937.6,0.94,66.67,11.11,22.22,15479.78
GGR,0.97,-16.88,-27.58,-27.58,,,,,0.56,0,0.42,-22.5,,0,-12.238,-12.60001,-12.19,,2.17,0.61,0.2149,99.21,-0.16,,,,21.32
GGS,1.06,1.96,2.61,8.61,2.21,,34.85,,385.36,268.48001,3.07,0.01,,0,151.889,5.65999,186.92999,,0.99,18.99,9.06,37.04,0.26,0,0,100,335.6
GHDX,4.94,6.14,7.59,7.59,55.2,,113.28,40.36,206.11,0,3.9,0.04,,0,15.156,7.84,15.77999,,0.53,31.93,28.32,29.99,0.25,60,13.33,26.67,849.2
GHII,2.09,14.03,17.72,18.87,0.2,,0.21,,76.5,4.61,24.87,0.13,,0,9.94699,9.72,14.27999,,-0.37,2.74,1,2.19,4.68,,,,2.19
GHL,1.03,9.7,12.75,14.73,22.28,1.11,27.94,-4.9,293.99,0,10.4,0.15,5.1124,1.79999,52.57699,44.56999,78.69999,-22.77,1,61.73,40.52,29.1,1.45,66.67,0,33.33,1179.29
GHM,3.38,11.14,16.72,16.76,24.61,0.91,15.63,0.01,74.24,0.10999,8.52,,14.75399,0.05999,8.314,5.86999,10.78999,-5.7,2.02,25.53,20.79,9.94,1.33,0,0,100,206.63
GHSE,1.59,-3.75,-5.21,,0.14,,,-2.13,525.79,1176.63,-13.87,-0.04,,0,25.79899,-21.64,79.41,,1.13,0.18,0.06,58.08,-0.34,,,,3.48
GIB,1.35,9.91,14.35,19.71,7.15,,12.79,4.11,4237.76,611.83001,10.16,0.1,,0,689.65997,441.32998,807.32,24.6,0.89,25.57,21.48,225.12,1.68,38.46,0,61.54,4835.6
GIFI,2.34,0.78,1.03,1.03,15.88,,130.7,-13.32,307.83,0,19.7,-0.01,-20.66301,0.23999,23.62199,-1.8,18.42,-37.13,2.33,35.34,26.14,14.39,0.2,60,0,40,376.02
GIGA,6.34,-75.6,-84.94,-87.61,0.43,,,1.19,21.03,0.00999,1.31,,,0,14.21199,14.06999,0.98,,0.51,3,1.22,5.02,-3.33,,,,6.13
GIGIQ,,,,,,,,,87.3,0,,,,0,-4.11101,-7.55001,-0.42,,2.24,0.03,0.001,3.69,,,,,0
GIGM,3.34,-5.48,-6.79,-6.85,2.15,,,-27.74,34.4,0,2.77,-2.08,,0,32.638,-71.57,13.89999,-21.36,1.24,1.6,1.27,55.34,-0.25,,,,70.28
GIII,1.7,8.37,14.97,14.97,9.39,0.55,11.02,24.58,1231.2,0,18.11,0.04,,0,57.09,49.61999,102.65,33.19,2.44,45.11,27.12,19.77,2.46,16.67,0,83.33,536.11
GIL,4.05,9.28,11.1,12.77,9.96,1.33,19.92,12.3,1726.04,209,10.35,0.14,,0.29989,325.20599,239.89999,306.80999,8.56,1.33,37.82,26.69,121.52,1.34,33.33,0,66.67,3243.4
GILD,5.53,20.81,25.61,45.41,10.67,0.88,12.41,21.86,8385.38,7753.47021,9.14,0.33,,0,3195.94091,2803.62988,4158.64013,24.79,0.46,56.03,45.415,758.07,3.66,20,0,80,34427.8
GILT,1.56,2.49,3.61,4.27,4.42,2.18,15.11,-0.01,339.2,40.34999,6.32,-0.02,,0,37.99599,-5.85,17.93,-11.49,1.23,5.14,4.08,41.3,0.27,50,0,50,168.5
GIS,1,7.87,12.9,23.41,11.6,2.07,15.61,4.44,14880.2,5542.5,11.49,0.12,11.935,1.12,2122,1798.30004,3247.10009,10.6,0.18,41.05,38.57,644.65,2.47,29.41,0,70.59,24864.19
GITN,,,,,,,,,,,,,,0,,,,,0.09,0.03,0.003,16.77,,,,,0.05
GIVN,4.14,6.4,7.98,7.99,28.38,,40.02,12.76,177.96,0.11999,6.5,0.07,,0,21.031,12.15999,22.61,42.74,1.44,22.26,19.61,30.67,0.49,0,0,100,601.42
GKIN,,,,,,,,,,,,,,0,,,,,1.33,0.01,0.0095,7.12,,,,,0.07
GKK,88.46,0.73,1.32,,24.6,,0.35,19.17,211.21,2468.81005,-10.4,1.6,,0,5.25899,337.47,87.45999,,2.26,3.96,2.56,51.36,7.42,,,,131.47
GKNT,4.12,-2.19,-2.66,-2.66,139.82,,,20.46,119.47,0,8.03,-0.01,,0,0.665,-1.19001,0.64999,,1.02,30,14.64,6.39,-0.21,,,,93.59
GKSR,2.03,4.07,5.59,6.76,8.93,1.6,17.4,-4,828.86,95.18,27.85,0.04,24.857,0.37999,68.54799,33.15999,102.97,-9.13,1.16,37.69,32.71,18.83,1.88,62.5,0,37.5,616.09
GLAD,5.33,6,6.28,8.32,2.69,,8.82,-2.18,35.21,100.01,9.89,-0.6,-18.137,0.83999,60.05199,-21.09001,62.72,-17.08,1.41,11.55,7.67,21.02,0.87,75,0,25,161.22
GLBS,1.29,2.8,3.7,5.16,2.84,,6.35,,32.28,105.51,13.94,0.21,,0.63999,18.19499,6.92,5.55999,,0,10.84,5.1399,10.14,0.81,,,,52.12
GLBZ,0.79,0.83,6.04,10.13,6.32,,9.01,-0.27,19.22,20,11.48,0.16,0,0.4,4.30299,2.99,5.71,2.24,0.52,10.9,10,2.72,1.11,,,,27.23
GLCH,2.32,0.54,1.26,4.14,1.08,0.44,12.5,39.54,261.77,1663.86999,2.14,-0.31,,0,139.985,-82.12001,63.7,,1.17,2.4,1.25,127.37,0.1,25,25,50,159.21
GLDC,1.42,5.58,9.14,11.39,13.82,,14.79,4.62,131.05,6.05999,2.05,0.02,0,0.125,3.015,3.00999,5.46999,25.75,0.48,3.83,3.55,11.73,0.24,,,,41.66
GLDD,2.5,2.6,6.92,7.03,6.43,1.23,20.03,6.57,627.33,2.5,4.96,0.03,22.69,0.07999,62.41099,16.52,90.8,62.77,1.97,7.78,6.81,59,0.34,20,0,80,401.78
GLDU,,,,,,,,,,,,,,0,,,,,2.77,0.15,0.12,5.75,,,,,0.69
GLEC,,,,,,,,,,,,,,0,,,,,0.46,0.02,0.0122,431.2,,,,,5.26
GLF,3.86,3.34,3.91,5.06,10.72,0.26,25,5.23,381.87,305.82998,37.54,0.13,,0,117.096,49.93,144.36,-28.55,1.37,55.2,47.26,26.62,1.89,20,0,80,1258.01
GLFE,,,,,,,,,,,,,,0,,,,,0.28,0.3,0.125,460.27,,0,0,100,57.53
GLFW,,,,,,,,,,,,,,0,,,,,3.14,0.01,0.0045,0.45,,,,,0
GLGL,1.35,-11.07,-17.43,-17.43,2.89,,,,60.59,12.14,5.54,,,0,6.36399,-3.017,8.31,,0.72,9.83,0.7554,33.13,-1.09,66.67,33.33,0,25.02
GLGSQ,,,,,,,,,,,,,,0,,,,,-0.22,0.01,0.0013,14.09,,,,,0.02
GLIAQ,,,,,,,,,,,,,,0,,,,,-1.57,0,0.0001,9.68,,,,,0
GLLC,,,,,,,,,,,,,,0,,,,,1.15,0.46,0.42,8.92,,,,,3.75
GLMA,,,,,,,,,,,,,,0,,,,,0.86,0,0.0013,2.23,,,,,0
GLNCY,,,,,,,,,186152,,,,,0.09,,,,,0.05,15.63,12.47,3461.36,,50,0,50,43163.13
GLNG,0.61,2.12,2.58,6.64,24.71,,59.31,3.69,299.85,1097.64001,9.49,0.23,-6.6358,1.125,118.745,68.26999,166.00999,-26.8,2.04,47.57,36.77,79.95,0.62,33.33,0,66.67,2939.69
GLOI,4.8,-14.99,-19.7,-19.7,,,,,64.76,0,1.66,,,0,-2.95001,-0.34001,-2.95001,,0.41,3.04,2.8,6.2,,,,,17.36
GLOV,,,,,,,,,,,,,,0,,,,,1.69,0.05,0.03,1.25,,,,,0.04
GLOW,1.11,3.77,7.78,,28.72,,249,7.46,27.81,0.33,-0.21,0.01,,0,2.18,0.36,1.88999,,0.99,3.03,2.49,25.21,0.01,,,,62.78
GLP,1.83,1.2,2.01,6.18,8.57,5.64,24.1,16.13,14835.73,758.39001,14.61,0,1.11839,2,56.462,18.65999,85.69999,-3.88,0.58,28.06,22.41,27.43,0.93,83.33,0,16.67,614.73
GLPW,3.89,8.42,11.02,11.02,23.89,1.18,16.86,,456.84,0,15.79,0.17,,0,17.336,76.84999,29.5,,-0.14,30,25.29,16.43,1.5,40,0,60,415.44
GLRE,4,0.29,0.85,0.85,106.72,,176.36,33.52,403.15,0,27.95,0.02,,0,6.999,6.76,9.03999,-30.98,0.76,28.28,24.69,30.28,0.14,100,0,0,747.54
GLRP,0.06,-3.86,,,,,,-68.7,1.1,2.68,-0.26,,,0,-13.38301,-14.66,-11.81001,,0.51,0.65,0.29,32.38,-0.62,,,,9.39
GLT,2,3.53,5.41,8.39,5.43,,15.32,7.94,1612.5,227,11.24,0.03,0,0.36,124.193,42.68999,160.77999,7.58,1.4,16.22,15.47,42.62,1.01,0,0,100,659.36
GLUU,1.85,-17.35,-30.01,-30.01,,,,-5.63,66.18,0,0.77,-0.32,,0,-4.29301,-21.10001,-12.23,,2.43,5.91,4.415,64.04,-0.21,0,0,100,282.74
GLUX,,,,,,,,,,,,,,0,,,,,0.43,1.49,1.39,14.29,,,,,19.87
GLW,4.14,10.09,11.91,13.2,5.68,1.18,7.69,6.47,7890,2364,13.44,0.36,4.95599,0.22499,3745,2805,4259,10.44,1.41,21.08,13.53,1521.88,1.76,19.05,19.05,61.9,20590.97
GLXZ,1.01,-31.51,-50.22,,,,,,3.06,,-0.01,,,0,,-0.13601,,,0.22,0.45,0.17,37.51,-0.02,0,0,100,6.38
GLYE,,,,,,,,,,,,,,0,,,,,-1.83,1.89,1.63,73.03,,,,,119.04
GM,1.23,5,14.16,23.75,2.44,0.49,6.15,,150276,11650,18.28,0.06,,0,15406.81054,9287,14069,,0.39,33.04,24.03,1565.76,3.91,30.77,0,69.23,37625.27
GMAN,1.96,15.9,37.36,37.55,13.83,0.95,16.34,,551.48,0.18,4.02,0.05,,0,29.89299,25.17,45.61,,-0.25,22.94,21.4,19.32,1.31,20,0,80,413.36
GMCR,2.41,10.66,13.58,18.74,17.94,0.49,21.18,65.31,2650.9,575.96002,13.13,0.08,,0,368.78399,199.5,480.17999,88.39,0.78,111.62,43.21,154.85,2.04,23.08,7.69,69.23,6691.29
GME,1.22,8.2,12.97,13.51,4.87,0.7,7.33,10.49,9550.5,0,22.28,0.04,,0,596.40002,339.89999,761.5,16.16,0.97,28.21,21.27,133.98,2.9,40,6.67,53.33,2849.78
GMELY,,,,,11.78,,,,7534.7,268.48001,,,,0.82033,258.59201,290.32,371.77999,,0.38,47.65,20.64,168.74,,,,,3482.86
GMET,1.74,3.07,3.52,13.97,1,,7.49,-19.98,35.62,158.16999,1.17,0.08,,0,17.89599,2.80999,17.79999,-42.53,1.59,1.56,0.4495,40.01,0.06,50,0,50,17.98
GMK,1.82,13.25,20.37,32.29,2.5,,16.91,6.69,4649.16,928.09002,10.17,0.1,,0,599.67401,470.48999,814.79998,,2.58,10.89,10.65,140.91,0.63,50,0,50,1500.72
GMLP,0.7,,,,,2.08,,,,,20.5,,,0.785,,,,,0.15,38.72,36.2,12,,28.57,0,71.43,434.4
GMO,1.56,-5.29,-6.02,-10.05,,,,,,0.12999,1.58,,,0,-14.358,-14.76001,-14.78,,2.72,5.29,3.15,91.18,-0.17,50,25,25,287.23
GMR,0.07,-9.02,-11.99,-49.31,0.14,,,,387.16,1353.23999,2.52,,-48.771,0,9.45899,-216.66001,25.21999,,1.15,2.32,0.015,121.71,-1.56,,,,1.83
GMT,5.26,1.67,2.09,8.2,5.59,1.02,19.9,-1.37,1267.9,3547.10009,24.19,0.09,3.8598,1.15999,333.5,110.8,555.59997,-15.99,1.45,44.9,39.99,46.84,2.01,66.67,0,33.33,1873.13
GMTC,0.3,-15.19,-57.18,-102.14,1.99,,,-14.25,30.87,0,0.37,-0.21,,0,0.41699,-6.36001,1.19,,1.66,0.29,0.07,11.88,,,,,0.83
GMTI,0.37,-125.42,-4180,,,,,-41.57,1.77,1.80999,-0.09,-3.85,,0,-4.778,-6.81,-4.28001,,0.78,0.89,0.68,35.62,-0.17,,,,24.22
GMXR,3.14,-2.24,-2.52,-8.57,1.93,,,15.77,116.74,426.79998,1.11,-1.81,,0.57811,41.95399,-211.83001,-123.69001,-83.83,1.66,6.02,1.34,68.27,-0.29,75,0,25,91.49
GNAU,0.53,-21.86,,,,,,,12.64,0.63999,-0.13,,,0,-0.69401,-0.69,-0.53,,0.87,0.05,0.017,18.35,-0.03,,,,0.31
GNBP,,,,,,,,,,,,,,0,,,,,0.27,1.59,1.18,78.99,,,,,93.21
GNBT,0.22,-197.81,-75156.15,,,,,-8.19,0.29,1.86,-0.04,-74.72,,0,-20.93001,-21.67001,-20.73,,1.53,0.26,0.1295,346.3,,,,,44.85
GNC,3.06,6.63,8.6,18.73,,1.2,22.87,,2072.18,899.95001,9.53,0.06,,0,,132.33,,,0.21,36.08,34.99,106.75,1.53,0,0,100,3735.11
GNCMA,1.76,0.83,1.07,6.33,2.63,,31.5,7.21,679.38,938.52001,3.97,0.01,,0,137.501,5.82999,207.07,-3.96,1.04,12.52,8.19,41.53,0.26,33.33,0,66.67,340.13
GNE,6.41,,,,,,,,,,,,,0,,,,,0.06,11.01,8.99,21.41,,,,,192.47
GNGT,,,,,,,,,,,,,,0,,,,,1.43,0.2,0.07,3.84,,,,,0.27
GNI,1.57,121.82,198.52,198.52,5.81,,5.96,6.33,26.74,0,6.87,0.86,7.9843,15,23.658,23.04,23.64999,6.2,0.35,124.91,91.66,1.5,15.37,,,,137.49
GNK,1.17,0.8,0.85,1.86,1.1,,7.43,25.45,392.21,1509.31005,37.86,0.06,,0,175.576,25.37999,263.35998,-11.11,1.83,10.11,5.35,43.81,0.72,66.67,16.67,16.67,234.37
GNLK,1.02,-152.83,-546.12,,,,,,7.84,,0,,,0,,-2.44701,,,0.74,0.11,0.05,201.45,-0.03,,,,10.07
GNMK,5.31,-53.4,-63.38,-65.37,,,,,5.01,0.57999,1.5,-4.79,,0,-22.65,-23.97,-22.5,,0.05,6.25,3.79,20.5,-1.51,0,0,100,77.71
GNMSF,1.55,-11.08,-28.54,-28.54,,,,,62.08,0,2.03,-1.8,,0,-67,-111.52,113,,0.7,10.62,7.65,44.91,,0,0,100,343.54
GNOM,3.41,-52.54,-64.5,-78.05,,,,,19.34,16.15999,2.49,-3.74,,0,-60.63801,-72.34,-57.90001,,0.6,17.42,2.75,33.42,-2.36,50,0,50,91.9
GNPG,,,,,,,,,37.07,2.96,,,,0,-10.27201,-15.44,-12.54,,0.61,0.05,0.007,185.88,-0.08,,,,1.3
GNPR,,,,,,,,,,,,,,0,,,,,2.05,5.7,0.145,0.14,,,,,0.02
GNRC,2.32,11.21,12.65,26.97,7.62,0.73,10.66,,791.98,575,11.37,0.41,,0,205.276,324.64001,168.77,,0.41,30.09,23.13,67.91,2.17,75,12.5,12.5,1570.69
GNRG,0.96,-1.58,-2.02,-2.26,7.15,,,-14.39,7.07,1.83,0.34,-0.34,,0,0.43999,-2.44001,-2.89001,,0.42,0.3,0.1328,24.2,,,,,3.21
GNRL,3.07,8.21,12.65,13.57,11.81,,8.75,,157.72,0.05,20.57,,,0,9.37199,3.92,15.19999,,0.76,27.9,26.51,4.17,3.03,,,,110.65
GNTA,0.36,-571.71,,,,,,-23.13,0.19,0.05,-0.03,-357.84,,0,-41.69,-69.42,-38.8,,-0.79,0.1,0.0015,2026.4,-0.21,,,,3.04
GNTP,,,,,,,,,11.31,0.02999,,,,0,-2.55201,-2.62,-2.541,,0.31,0.05,0.0012,6.66,-0.47,,,,0.01
GNTX,7.47,14.58,16.85,16.85,16.65,0.95,21.1,10.08,1023.76,0,7.16,0.16,4.0121,0.46999,207.298,164.66,287.05999,7.29,1.49,31.88,24.05,144.13,1.14,62.5,12.5,25,3466.33
GNTY,,,,,4.63,,,,51.33,105.22,,,25.642,1.97,15.02,11.43,19.32999,,0.28,25.75,24.5,2.84,,,,,69.53
GNVC,8.75,-22.16,-25.76,-25.76,,,,4.61,17.74,0,2.05,-0.42,,0,-7.211,-7.44001,-7.25,,1.74,4.86,2.5901,12.96,-0.57,100,0,0,33.56
GNW,0.32,0.19,1,1.3,4.07,1.32,17.53,-2.04,10344,4726,35.98,0.01,,0,909,122,1515,-44.63,3.04,12.68,7.54,491.39,0.43,54.55,18.18,27.27,3705.04
GOJO,2.24,-48.98,-14050,-14050,,,,-13.08,6.58,0,0.01,-0.27,,0,-0.32,-1.76,-0.232,,0.4,0.28,0.169,81.89,,,,,13.84
GOK,1.11,-17.76,-30.56,,0.81,,,17.41,763.73,350.17999,-10.74,-0.29,,0,37.783,-222.05001,-13.44,,2.74,9.71,1.62,18.99,-6.81,25,25,50,30.76
GOL,0.87,-6.74,-10.58,-26.5,,1.52,,15.07,4141.64,2065.81005,9.94,-0.11,3.01999,0.10304,-175.08901,-451.44001,-109.80001,,2.01,14.25,5.88,133.36,-1.46,75,0,25,784.14
GOLD,4.75,17.09,18.81,18.84,20.36,1.47,20.12,20.32,1127.09,2.60999,25.04,0.38,18.31299,0.18,383.91198,433.42999,485.13,36.89,0.35,119.44,85.29,91.73,4.24,50,12.5,37.5,7823.48
GOLF,1.5,1.34,2.49,3.92,5.09,,34.11,-0.98,387.27,41.9,4.07,0,,0,13.77999,-0.09001,13.64999,-20.57,1.57,5.5,4.434,15.81,0.13,0,0,100,70.11
GOOD,0.05,1.07,3.42,3.42,9.16,5.37,11.09,8.47,43.98,0,12.36,0.13,0.62809,1.5,20.25399,5.71,37.31999,,0.86,19.2,16.96,10.94,1.53,0,0,100,185.63
GOOG,5.92,15.37,18.38,19.15,17.77,0.94,20.35,22.47,37905,2986,179.52,0.26,,0,11588,9737,14177,24.92,1.08,668.28,635.96,325.14,31.25,6.45,0,93.55,206774.13
GORO,2.97,73.17,97.47,97.47,21.69,,23.13,,105.16,0,1.65,0.55,,0.2,60.97499,58.36,48.93,,0.99,30.72,24.98,52.9,1.08,,,,1321.52
GORXQ,,,,,,,,,,,,,,0,,,,,0.53,0.03,0.005,23.4,,,,,0.12
GOV,0.29,3.9,4.22,5.66,12.46,7.25,11.27,,178.95,345.5,18.95,0.26,,1.66999,88.166,45.99,99.87999,,0.28,27.71,23.34,47.05,2.07,42.86,42.86,14.29,1098.19
GOVB,,,,,,,10.49,,8.73,,,,1.67299,0.34,,1.87,,18.71,0.51,10.24,8.5,2.38,0.81,,,,20.26
GOVX,1.5,-122.88,-201.89,-201.89,,,,22.45,4.9,0,0.04,-0.48,,0,-2.247,-2.34,-2.24001,,1.35,1.88,1.05,15.78,-0.14,,,,16.57
GOYL,,,,,,,,,,,,,,0,,,,,21.51,0.01,0.0001,7.82,,,,,0
GPC,2.53,9.85,17.74,19.67,14.73,1.75,17.24,2.15,12458.88,500,17.94,0.05,5.22039,1.79999,654.04602,565.10998,1006.76,2.38,0.76,65.59,61.9,155.77,3.59,83.33,16.67,0,9642.29
GPFOY,,,,,,,,,,,,,7.827,0.11902,,,,,0.43,13.56,10.59,1333.41,,0,100,0,14120.77
GPI,1.13,3.75,6.83,10.71,10.19,0.67,15.02,-3.12,6079.77,482.6,35.5,0.01,-1.58131,0.47999,125.079,82.38999,232.53999,-2.79,1.76,59.15,56.04,22.71,3.73,22.22,11.11,66.67,1272.84
GPIC,3.22,6.2,8.36,8.37,8.46,,13.71,0,61.08,0.00999,5.18,0.06,,0,5.979,3.66,7.23999,39.29,0.4,8.26,6.17,8.2,0.45,0,0,100,50.59
GPK,2.04,2.24,3.01,10.28,4.31,0.88,19.07,13.39,4206.3,2335.69995,3,0.07,,0,482.39999,276.89999,569.90002,,2.2,5.78,5.34,389.48,0.28,16.67,0,83.33,2079.83
GPL,9.31,14.51,15.95,15.95,15.7,,23,39.94,58.23,0,0.68,0.2,,0,18.11199,11.64,18.26,,0.21,4.16,2.07,137.53,0.09,50,0,50,284.68
GPLB,,,,,,,,,13.3,,,,,0,,,,,-0.71,0.15,0.1,20.01,,,,,2
GPMCF,,,,,4.59,,,,6363.1,0,,,,0,952.20697,1054.54003,1654.07995,,0.86,7.47,6.92,633.98,,0,50,50,4387.12
GPN,1.5,9.39,15,19.98,11.67,1.02,13.35,14.17,1859.8,268.20999,17.45,0.11,0,0.07999,305.134,209.22999,424.58999,12.61,0.92,53.48,44.47,78.36,3.33,48,0,52,3484.67
GPOR,2.9,21.01,23.99,24.52,8.44,0.19,11.99,13.77,229.25,2.14,11.5,0.47,,0,171.942,108.41999,173.25,7.98,2.39,37.36,26.38,55.62,2.2,18.18,0,81.82,1467.28
GPOVY,1.4,6.47,11.71,11.75,20.19,,,,5084.33,11.21,2.91,,-42.35,0.07049,352.07501,597.15002,743.36999,,1.21,7.65,6.15,1155.88,,,,,7108.63
GPR,0.36,-33.44,-38.92,-59.99,,,,,0.97,1.41999,0.41,-1.52,,0,-1.03,-1.47001,-0.40001,,1.02,0.72,0.21,42.25,-0.15,,,,8.87
