Ticker,Current Ratio,Current ROA (TTM),Current ROI (TTM),Current ROE (TTM),Price/Cash Flow,PEG Ratio,P/E (Trailing 12 Months),5 Yr Historical Sales Growth,Annual Sales,Long Term Debt ,Book Value,Net Margin,5 Yr Hist. Div. Growth %,Dividend ,Cash Flow ,Net Income ,EBITDA ,5 Yr. Hist. EPS Growth,Beta,52 Week High,Last Close,Shares Outstanding ,12 Mo Trailing EPS,% Rating Hold,% Rating Strong Sell or Sell,% Rating Strong Buy or Buy,Market Cap 
AERT,0.6,-18.17,-34.68,,,,,-9.02,59.26,25.45,-0.27,-0.12,,0,-3.981,-6.92001,1.85,,1.25,0.22,0.07,88.02,-0.12,,,,6.16
AES,1.09,1.75,2.55,7.15,4.65,1.22,13.28,6.22,17274,20116,12.68,0,,0,2059.71411,58,3441,-0.52,1.43,13.82,12.48,767.24,0.94,0,0,100,9575.22
AESAY,1.25,,,,4.27,,,,1133.45,539.96997,5.95,0.45,,0.88481,606.36999,507.76,,,-0.02,13.83,13.11,197.46,,,,,2588.71
AET,0.32,5.13,13.87,19.05,7.16,0.88,9.26,6.49,33779.8,3977.69995,27.93,0.06,69.90299,0.44999,2414.80004,1985.69995,3773.80004,4.49,1.26,50.23,47.69,350.4,5.15,31.25,0,68.75,16710.58
AETI,2.01,-16.61,-22.46,-27.57,,,,12.66,51.94,5.05,2.24,-0.11,,0,-5.11801,-5.88001,0.50999,,0.82,5.7,4.7,7.83,-0.75,,,,36.8
AETUF,0.54,5.96,8.04,9.67,7.22,,18.28,3.95,1446.37,729.84997,11.09,0.2,,0.29607,803.33697,290.44,943.27001,,0.06,26.44,20.1085,289.29,1.1,,,,5817.11
AEY,10.49,4.31,4.87,6.3,8.82,,11.41,-10.78,38.08,10.23999,3.57,0.07,,0,2.90599,2.52999,5.28,-16.04,1.18,3.15,2.51,10.21,0.22,,,,25.62
AEZS,3.36,-33.69,,,,,,-16.44,36.05,0,-0.04,-0.75,,0,-24.19701,-27.06,-23.09001,,1.5,2.58,0.72,105.77,-0.28,44.44,11.11,44.44,76.16
AF,1.01,0.39,1.83,5.29,7.47,4.23,12.75,-8.27,764.16,2421.57006,12.7,0.09,-17.28001,0.51999,119.38899,67.19999,339.86999,-18.52,1.1,15,9.05,98.54,0.71,69.23,23.08,7.69,891.8
AFAM,3.22,9.18,11.04,11.11,9.21,1.3,10.34,31.56,339.85,1.12,22.02,0.06,,0,24.725,20.79999,37.36999,26.38,1.14,36.49,24.3,9.37,2.35,100,0,0,227.62
AFCB,1,0.67,3.34,3.8,14.53,,20.24,,19.4,3.08999,18.56,0.1,,0.2,2.808,1.89999,3.89,,-0.09,14.98,14.98,2.68,0.74,,,,40.09
AFCE,1.26,19.48,35.74,298.45,13.81,1.03,17.05,-3.23,153.8,58.79999,0.57,0.16,,0,28.89999,24.2,44.9,4.62,1.64,17.6,16.37,24.38,0.96,0,0,100,399.15
AFFI,,,,,,,,,,,,,,0,,,,,-0.6,0.01,0.001,47.14,,,,,0.05
AFFM,0.85,-3.57,-9.54,-53.19,,,,-7.72,249.8,188.83999,-4.63,-0.66,,0,-5.03701,-164.2,-134.31,-7.74,1.47,2.65,0.52,15.41,-1.45,,,,8.01
AFFN,,,,,,,,,,,,,,0,,,,,96.13,0,0.0001,207.14,,,,,0.02
AFFX,5.76,-6.1,-7.15,-9.52,53.97,,,-7.4,267.47,95.45999,3.9,-0.11,,0,5.249,-28.16,9.77,,2.05,8.06,4.02,70.45,-0.39,75,16.67,8.33,283.2
AFFY,5.45,-43.79,-59.94,-59.94,,,,9.88,47.72,0,2.13,-1.29,,0,-59.13701,-61.36001,-58.99001,,1.36,14.31,11.46,35.77,-1.85,0,0,100,409.96
AFG,0.24,1.05,6.53,7.85,6.67,1.31,10.57,1.25,4750,934,47.51,0.07,11.83899,0.6625,556,343,837,-0.15,1.09,38.86,37.54,97.9,3.55,20,0,80,3675.02
